candidate,timestep,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
6,30,32.28334,49.58252,-50.36871,84.22711,-20.66228,2.46623
6,31,32.53079,49.59653,-50.51032,83.72630,-20.48935,2.41240
6,32,33.19913,49.45763,-51.15937,81.41154,-17.38844,2.55838
6,33,33.56015,50.25790,-51.18003,80.02121,-18.71205,2.34736
6,34,34.00791,49.58368,-49.47693,78.30778,-17.63808,2.30069
6,35,34.74389,51.57926,-50.12991,78.58866,-17.28027,2.32877
6,36,34.86005,49.30487,-50.97679,78.13014,-17.33126,2.28173
6,37,34.94895,52.78202,-53.24697,77.99860,-14.43472,3.73420
6,38,36.10347,53.18450,-51.01982,75.12634,-15.40129,2.97079
6,39,35.74782,50.99681,-50.51831,75.08087,-16.60186,2.78223
6,40,35.41816,51.84327,-51.55946,75.42753,-15.66718,2.88517
6,41,33.65178,55.67044,-50.18745,75.74483,-17.53281,9.66283
6,42,36.73596,53.83915,-52.79077,77.93724,-18.07492,11.95879
6,43,34.50320,53.25452,-53.37185,75.51091,-19.15639,13.55191
6,44,35.16528,52.90747,-52.29878,78.30752,-18.89579,16.58140
6,45,34.22701,53.09211,-52.99758,78.02093,-19.88262,17.17737
6,46,34.49866,52.84995,-55.33577,78.73194,-20.30344,17.60208
6,47,33.79006,52.06366,-49.54786,76.76059,-18.57877,16.56678
6,48,33.00058,49.10712,-48.80288,78.20820,-18.63652,15.66341
6,49,32.34086,47.92934,-47.91319,79.42323,-17.64678,13.74761
7,0,31.92472,19.19506,-26.21405,87.06442,-19.06888,2.26843
7,1,32.16153,19.76962,-28.53324,88.06648,-17.95441,2.06790
7,2,32.36724,20.55983,-27.61155,86.72743,-18.57151,2.02891
7,3,33.62857,23.54973,-28.48037,85.40116,-19.11928,2.24220
7,4,34.21210,23.54873,-27.36614,85.83372,-16.65776,1.95402
7,5,34.04106,22.42221,-27.32106,86.84761,-17.76110,1.96055
7,6,35.64007,27.24308,-31.76793,88.08073,-16.06459,1.86195
7,7,38.56844,27.02182,-30.90131,86.95575,-14.17439,1.74701
7,8,35.95126,28.26847,-31.85983,85.68369,-15.67058,1.81392
7,9,36.76871,28.62484,-30.54662,81.99313,-17.09064,1.81744
7,10,38.09599,31.84427,-31.89328,83.46108,-16.78367,1.91170
7,11,37.13696,33.54588,-32.38324,82.99951,-18.82347,1.72610
7,12,38.06293,33.67878,-34.24873,83.51591,-18.48543,1.60644
7,13,38.19687,34.60246,-34.40064,83.98254,-18.56009,1.73232
7,14,37.09961,37.09784,-37.31022,82.58305,-15.68817,2.14261
7,15,36.99569,39.15175,-39.90406,84.31171,-16.54530,1.81369
7,16,37.28833,41.61575,-41.64269,83.13944,-16.27637,1.63510
7,17,37.58677,43.45961,-43.56409,84.98149,-14.80529,1.88428
7,18,35.98927,44.27437,-44.90656,83.35041,-17.00095,1.68927
7,19,35.05688,47.53759,-45.65784,83.53917,-17.36453,1.77896
7,20,37.62675,45.97619,-45.47646,82.96671,-17.02089,1.66556
7,21,36.35283,46.70243,-45.83733,84.96157,-19.00857,1.90530
7,22,36.40724,48.77916,-49.08220,82.99445,-16.38368,1.84088
7,23,38.06963,49.21058,-47.11329,82.89877,-17.98742,1.78498
7,24,37.79659,51.45726,-48.68851,84.82224,-16.13161,1.96145
7,25,38.41335,48.61151,-48.27190,84.50528,-17.44621,1.85248
7,26,36.20069,50.74654,-48.07539,83.51784,-16.66030,1.66857
7,27,36.18412,48.81964,-47.56115,83.35858,-17.97668,1.96915
7,28,36.61383,49.11131,-46.39312,82.29698,-17.57194,1.94742
7,29,35.86720,48.97472,-45.39215,83.61742,-17.16220,1.85113
